node,delay[sec],bandwidth[bytes/sec]
B,11.937379837036133,7.2042609998202485
C,0.09965896606445312,862.9429282296651
A,0.2110004425048828,407.5820836158192
C,0.2472400665283203,343.7954098360656
C,0.27179718017578125,316.41240701754384
C,0.20575523376464844,413.1122132097335
A,0.49567222595214844,173.50175276575277
C,0.5128383636474609,167.69416271501626
B,0.5087852478027344,167.0645923149016
C,0.4906654357910156,175.2721788143829
C,0.39005279541015625,217.919217603912
B,0.5545616149902344,153.27422184006878
C,0.5562305450439453,154.6121491641663
A,0.2522468566894531,336.97149338374294
C,0.4742145538330078,181.35251080945199
B,4.506826400756836,19.082163889329735
A,0.5612373352050781,153.23285641461342
C,0.5021095275878906,171.277371320038
C,0.2562999725341797,335.54432
A,0.49185752868652344,174.8473795443529
C,0.30541419982910156,281.5848118657299
A,0.5087852478027344,169.0300581068416
C,0.5667209625244141,149.9856289440471
A,0.5877017974853516,146.33271561866127
A,0.5812644958496094,146.23291222313372
C,0.19621849060058594,438.28693074119076
A,0.3147125244140625,273.2652606060606
C,0.28204917907714844,304.9113643279797
A,0.4673004150390625,181.8958367346939
B,0.2999305725097656,286.7330238473768
C,0.4782676696777344,179.8156251246261
B,0.5581378936767578,154.0837864160615
B,0.5450248718261719,157.79096412948383
B,0.6330013275146484,135.8606945386064
C,0.22912025451660156,375.34874505723207
C,0.4532337188720703,189.7475770647028
A,0.5033016204833984,168.88481288488867
C,0.3383159637451172,251.24442565186752
A,0.6389617919921875,134.59333731343284
C,0.4296302795410156,200.17211098779134
C,0.5660057067871094,151.94193091828137
A,0.6215572357177734,138.36215726889145
A,0.32067298889160156,268.18598066914495
A,0.5550384521484375,154.94421993127148
A,0.22983551025390625,374.18064730290456
C,0.21791458129882812,394.65004814004374
B,0.18215179443359375,472.1336963350785
B,0.21839141845703125,393.7883668122271
C,0.2162456512451172,397.6958588754135
C,0.47087669372558594,182.63804759493672
C,0.19621849060058594,438.28693074119076
C,0.20575523376464844,417.97235689455385
B,0.13637542724609375,630.6121398601399
C,0.45943260192871094,187.1874125583809
C,0.4410743713378906,194.97845621621622
B,0.21529197692871094,399.4575238095238
A,0.20360946655273438,422.37721779859487
C,0.2028942108154297,423.86620916568745
B,0.18262863159179688,465.4253785900783
B,0.21886825561523438,392.930440087146
C,0.1842975616455078,466.6366675291074
B,0.1995563507080078,425.9448506571087
C,0.1761913299560547,488.1057428958051
C,0.2453327178955078,346.46826044703596
A,0.22482872009277344,382.513408271474
C,0.179290771484375,479.66774468085106
C,0.1933574676513672,444.7720641183724
C,0.20813941955566406,408.38011454753723
C,0.2002716064453125,429.4168380952381
B,0.3459453582763672,248.59417229496898
A,0.27680397033691406,307.0765202411714
A,0.2014636993408203,426.8759100591716
C,0.17833709716796875,482.2328128342246
A,0.5307197570800781,160.15985624438454
B,0.20384788513183594,421.88320935672516
A,0.24652481079101562,348.84926885880077
C,0.4010200500488281,214.45311771700358
A,0.2224445343017578,386.61323043944265
C,0.24890899658203125,345.50780076628354
C,0.19240379333496094,446.97663444857494
C,0.18286705017089844,470.2870195567145
C,0.20170211791992188,421.41352245862885
A,0.3714561462402344,231.52127342747113
A,0.2410411834716797,356.7855034619189
B,0.2238750457763672,384.1428583599574
C,0.46539306640625,184.79003278688523
C,0.5581378936767578,154.0837864160615
C,0.3688335418701172,233.16751389786683
A,0.6270408630371094,135.5573536121673
C,0.7374286651611328,116.6214497251859
C,0.5307197570800781,162.04408984725967
A,0.5183219909667969,163.99072677092917
A,0.5271434783935547,161.2464224332881
C,0.5359649658203125,160.45824911032028
A,0.3428459167480469,250.84154659248958
B,0.6759166717529297,127.23461869488536
C,0.5280971527099609,162.84882347629798
A,1.1131763458251953,77.25640265581495
C,0.7672309875488281,112.09140584213797
C,0.2875328063964844,295.61844112769484
B,0.4315376281738281,199.2873723756906
C,0.20599365234375,412.6340740740741
C,0.6573200225830078,130.83429234675373
B,0.5717277526855469,150.42124437030859
B,0.4925727844238281,174.59348693126816
C,0.19502639770507812,440.96594621026895
A,0.2224445343017578,377.6222250803859
B,0.5125999450683594,165.82132093023256
C,0.4794597625732422,179.36854500248631
A,0.6897449493408203,124.68376909782233
C,0.23055076599121094,373.019797311272
A,0.6356239318847656,135.30012903225807
C,0.47016143798828125,178.66203651115617
C,0.42128562927246094,204.13703678551218
C,0.7634162902832031,112.65151280449719
C,0.2574920654296875,330.10725925925925
B,0.194549560546875,436.9066666666667
B,0.5297660827636719,162.335798379838
A,0.2884864807128906,298.1075570247934
A,0.3006458282470703,286.05086756542426
C,0.5071163177490234,169.58633944522802
C,0.17786026000976562,477.9032707774799
A,0.6000995635986328,141.64316249503378
B,0.2384185791015625,360.710144
B,0.3647804260253906,235.7582640522876
C,0.5767345428466797,149.1153964448119
C,0.21004676818847656,409.4326265607264
C,0.1964569091796875,437.75502912621357
C,0.08916854858398438,964.4656256684492
C,0.20956993103027344,405.5925369738339
C,0.4744529724121094,181.26137889447236
A,0.8664131164550781,98.10562465602642
B,0.6227493286132812,136.49151607963248
C,0.6811618804931641,126.25486314315715
B,10.374069213867188,8.28990034932892
C,0.6756782531738281,127.27951446718419
C,0.6093978881835938,141.12290453834115
B,0.640869140625,134.1927619047619
C,0.4944801330566406,173.92003085824493
A,0.5934238433837891,144.92171313780634
A,0.6475448608398438,132.80933136966127
A,0.27108192443847656,313.55834652594547
A,0.31757354736328125,267.65453453453455
B,0.24557113647460938,350.20402330097085
A,0.5695819854736328,150.98792130598576
C,0.6566047668457031,129.45382716049383
C,0.3426074981689453,251.01610577592206
C,0.19860267639160156,422.95502521008405
C,0.5609989166259766,153.29797875053123
C,0.7431507110595703,115.72349823548284
B,0.5228519439697266,164.48250980392157
C,0.27251243591308594,311.9123709536308
A,0.46563148498535156,184.69541423451102
C,0.4673004150390625,184.03578775510204
B,0.6613731384277344,130.03249603460708
C,0.4353523254394531,197.54115224534502
C,0.33855438232421875,254.02122816901408
B,0.5218982696533203,164.7830717222476
B,0.5791187286376953,146.77473857554548
A,0.5133152008056641,167.53838550859265
B,0.6060600280761719,138.60013217938632
C,0.5984306335449219,143.70922071713147
A,0.5757808685302734,147.6256066252588
C,0.18262863159179688,470.9009712793734
C,0.4608631134033203,186.60638592860838
B,0.5090236663818359,168.95088711943794
B,0.6899833679199219,124.64068555632343
C,0.6666183471679688,127.5092417739628
C,0.5145072937011719,167.15020574606118
C,0.4208087921142578,201.99197733711048
A,0.20074844360351562,428.3968456057007
C,0.45871734619140625,187.47928482328481
A,0.6055831909179688,142.01186771653542
C,0.5245208740234375,160.14615272727272
A,0.19407272338867188,443.13285503685506
C,0.12969970703125,663.0701176470589
B,0.4913806915283203,172.98196991751576
C,0.5033016204833984,170.8716930364756
B,0.28014183044433594,306.9873565957447
A,0.5216598510742188,164.85838391224863
B,0.423431396484375,203.10255855855857
C,0.5354881286621094,160.60113268032057
C,0.4284381866455078,200.72907289927656
A,0.27441978454589844,313.3884830582102
C,0.5047321319580078,170.38740859707133
A,0.6623268127441406,129.8452642188625
C,0.5261898040771484,163.43912279111916
C,0.1990795135498047,431.9881964071856
A,0.25963783264160156,331.2306189164371
A,0.484466552734375,177.51483464566928
B,0.5867481231689453,146.57055830963023
C,0.18715858459472656,459.50336815286624
C,0.339508056640625,253.30768539325842
A,0.3001689910888672,286.50527720413027
A,0.35309791564941406,243.55850371370695
C,0.5168914794921875,166.3792177121771
A,0.20599365234375,417.48859259259257
B,0.21839141845703125,380.0515633187773
A,0.17142295837402344,501.68309318497916
A,0.19359588623046875,444.22431527093596
A,0.5626678466796875,152.8432813559322
C,0.2453327178955078,350.5443576287658
A,0.22029876708984375,390.37894372294375
B,0.2541542053222656,338.3772457786116
B,0.26607513427734375,323.21697491039424
B,0.26226043701171875,320.29230545454544
B,0.11324882507324219,759.3897768421052
B,0.9579658508300781,88.72967645594824
B,0.2579689025878906,325.62064325323473
B,0.2586841583251953,328.58602764976956
B,0.2295970916748047,374.56920456905505
A,0.16450881958007812,522.7683246376812
A,0.278472900390625,308.8271780821918
B,0.33020973205566406,260.4405371841155
B,0.1983642578125,433.5458461538461
A,0.25010108947753906,343.8609571020019
A,0.22268295288085938,386.1992976445396
B,0.30612945556640625,277.66031152647975
B,0.25963783264160156,331.2306189164371
B,0.23412704467773438,367.3219389002037
B,0.2589225769042969,328.28346224677716
A,0.22530555725097656,381.7038560846561
B,0.2512931823730469,342.22973814041745
A,0.2262592315673828,375.6752792413066
B,0.2875328063964844,299.0963051409619
A,0.44989585876464844,191.15534923158452
A,0.10013580322265625,858.8336761904762
B,0.13494491577148438,637.297074204947
B,0.1857280731201172,463.04254685494226
B,0.21767616271972656,390.4883242059146
A,0.2231597900390625,380.89299145299145
A,0.2460479736328125,345.4610852713178
A,0.2620220184326172,328.2166915377616
A,0.2543926239013672,334.1291846298032
A,0.21696090698242188,396.3847736263736
A,0.2295970916748047,374.56920456905505
B,0.2346038818359375,366.57534959349596
A,0.2281665802001953,376.9176008359457
A,0.2357959747314453,364.72208695652176
A,0.24008750915527344,354.0375769612711
A,0.22602081298828125,376.0715611814346
B,0.23698806762695312,354.4482253521127
B,0.30493736267089844,282.0251321344801
A,0.23508071899414062,365.83178904665317
A,0.23603439331054688,360.1170101010101
A,0.22125244140625,388.69627586206894
A,0.2777576446533203,309.62244120171675
A,0.13494491577148438,637.297074204947
B,0.24271011352539062,354.33216502946954
B,0.2281665802001953,372.5348380355277
A,0.23818016052246094,356.8727127127127
A,0.2589225769042969,332.145620626151
A,0.20742416381835938,414.6093609195402
B,0.8504390716552734,99.94837118026352
A,0.23031234741210938,373.4059461697723
B,0.28967857360839844,296.8807769547325
B,0.22482872009277344,382.513408271474
A,0.2715587615966797,316.6902054433714
A,0.26345252990722656,326.43451945701355
B,0.24557113647460938,350.20402330097085
B,0.1575946807861328,539.3583055975794
B,0.19478797912597656,441.50568421052634
A,0.2536773681640625,339.0132932330827
A,0.8065700531005859,105.38452261306533
B,0.2758502960205078,311.763305099395
B,0.28586387634277344,300.84248874061717
A,0.23508071899414062,365.83178904665317
A,0.2956390380859375,290.89527741935484
B,0.23651123046875,363.61909677419357
A,0.3037452697753906,283.1319811616954
B,0.28252601623535156,304.3967459915612
B,0.11038780212402344,770.0126133909288
A,0.23245811462402344,369.95912205128207
B,0.12874603271484375,667.9817481481482
B,0.23031234741210938,373.4059461697723
B,0.22292137145996094,385.78625026737967
A,0.15497207641601562,554.9386830769231
B,0.2548694610595703,337.42763704396634
A,0.27370452880859375,314.2074425087108
A,0.2727508544921875,315.30606993006995
B,0.2276897430419922,377.7069570680628
A,0.21696090698242188,396.3847736263736
B,0.2548694610595703,333.5040598690365
B,0.247955322265625,346.83667692307694
B,0.2739429473876953,313.93398085291557
B,12.521982192993164,6.867922240627559
B,0.24580955505371094,349.8643491755577
B,9.603500366210938,8.955068123138034
B,22.99666404724121,3.739672842258048
B,0.3104209899902344,277.0431213517665
B,21.83055877685547,3.9394319164737235
B,20.145177841186523,4.269011704834606
B,22.355079650878906,3.8022678213386802
B,20.133256912231445,4.271539392503997
B,11.255264282226562,7.640869005253347
B,11.037588119506836,7.791557274003672
B,11.789798736572266,7.294441739130435
B,22.020816802978516,3.9053955522834065
B,9.046316146850586,9.506632158764463
