node,delay[sec],bandwidth[bytes/sec]
A,22.253036499023438,3.864641124539299
C,0.7069110870361328,121.65603507588533
B,11.095523834228516,7.750873350810091
B,0.3085136413574219,278.75590726429675
C,0.2796649932861328,307.510779198636
A,0.4913806915283203,175.01705191654537
C,0.6475448608398438,132.80933136966127
A,0.29397010803222656,292.5467510137875
B,0.553131103515625,155.47851034482758
B,0.5018711090087891,169.36619477434678
A,0.5645751953125,152.32691891891892
C,0.1881122589111328,457.17382002534856
C,0.1289844512939453,658.9941589648798
C,0.270843505859375,313.8343661971831
C,0.5445480346679688,157.92913485113834
A,0.6036758422851562,142.46056240126381
C,0.2970695495605469,286.1282825040128
C,0.6425380706787109,133.84420927643785
B,0.8232593536376953,104.46282768607009
A,0.24271011352539062,354.33216502946954
B,0.36597251892089844,234.99032182410423
C,0.6916522979736328,124.33993243709065
C,0.5970001220703125,144.05357188498402
C,0.4966259002685547,173.16857609217476
B,0.5609989166259766,153.29797875053123
B,0.6830692291259766,122.97435811518325
B,0.5645751953125,150.55567567567567
C,0.22363662719726562,384.55239232409383
C,0.5893707275390625,145.9183430420712
A,0.5414485931396484,158.8331765741964
A,0.3440380096435547,249.97237976437975
C,0.6082057952880859,141.39950764406115
C,0.21457672119140625,400.7890488888889
C,0.247955322265625,346.83667692307694
C,0.5714893341064453,150.4839983312474
C,0.2567768096923828,334.92121077065923
C,0.47898292541503906,179.5471100049776
B,0.6158351898193359,138.02394115369725
B,0.5517005920410156,155.8816525496975
C,0.5083084106445312,169.1886228893058
C,0.5373954772949219,160.03111978704524
B,0.7567405700683594,112.3238311279143
B,0.2524852752685547,340.6139225684608
B,0.43392181396484375,195.88782417582416
C,0.47707557678222656,180.26493953023487
C,0.4715919494628906,182.36104347826088
B,1.2013912200927734,70.7513077991665
B,0.5707740783691406,150.672574770259
C,0.3657341003417969,235.14350977835724
C,0.2574920654296875,333.9908740740741
C,0.5688667297363281,151.1777636211232
C,0.46133995056152344,186.41351111111112
C,0.5290508270263672,162.55526994141505
C,0.7016658782958984,122.565458375807
B,0.5125999450683594,167.77216
C,0.244140625,348.16
B,0.24008750915527344,358.20272492552135
C,0.4889965057373047,175.8703773768893
C,0.19168853759765625,448.6444577114428
A,0.37598609924316406,226.07218769816106
C,0.6351470947265625,135.4017057057057
B,0.23627281188964844,363.9860181634712
C,0.15401840209960938,558.3748359133127
C,0.5588531494140625,153.88658020477817
A,0.274658203125,309.47555555555556
C,0.4820823669433594,178.39275173095945
C,0.6041526794433594,142.3481231254933
B,0.4513263702392578,190.54946856840994
C,0.36787986755371094,233.77196629941673
B,0.6198883056640625,138.73467076923077
A,0.4906654357910156,173.23413022351798
A,0.49996376037597656,172.01246733428707
B,0.47588348388671875,178.61515030060121
A,0.2722740173339844,315.8582697022767
C,0.21696090698242188,396.3847736263736
B,0.6384849548339844,133.12764749813294
C,0.7035732269287109,122.23319010504913
C,0.4782676696777344,179.8156251246261
A,0.7052421569824219,121.94392968221771
C,0.354766845703125,242.4127311827957
C,0.4734992980957031,181.62645720040283
B,0.5934238433837891,144.92171313780634
C,0.6420612335205078,132.38612699591533
B,0.5159378051757812,166.68675785582255
A,0.2722740173339844,315.8582697022767
C,0.4687309265136719,183.47413224821975
C,0.5559921264648438,154.67844939965696
C,0.2105236053466797,408.50525934314834
C,0.21195411682128906,405.7481934758155
C,0.46253204345703125,183.77105154639176
C,0.5359649658203125,160.45824911032028
A,0.8368492126464844,102.7664227920228
A,0.5776882171630859,148.86922988031367
C,0.5412101745605469,158.9031471365639
C,0.2567768096923828,334.92121077065923
A,0.28228759765625,304.65383783783784
A,0.2231597900390625,385.37408547008545
A,0.6051063537597656,140.47117415287627
C,0.2751350402832031,305.30462391681107
A,0.4200935363769531,202.33589103291715
C,0.5588531494140625,153.88658020477817
B,0.522613525390625,164.55754744525547
C,0.4239082336425781,202.87409673790776
C,0.26917457580566406,319.49525597874225
B,0.5130767822265625,167.6162379182156
A,0.6885528564453125,124.89963434903046
C,0.2486705780029297,337.79629530201345
B,0.2999305725097656,286.7330238473768
C,0.4162788391113281,206.5922932416953
B,0.5154609680175781,166.84095467160037
C,0.5304813385009766,162.11691865168538
B,0.6036758422851562,140.80404423380728
C,0.21982192993164062,386.67661605206075
B,0.5867481231689453,146.57055830963023
C,0.29158592224121094,294.9387931316435
B,0.5881786346435547,144.5139197405756
C,0.2288818359375,375.73973333333333
C,0.5321502685546875,161.60848745519712
C,0.4565715789794922,186.17015143603132
B,0.5159378051757812,164.74853974121996
C,0.5731582641601562,146.55637936772047
B,0.5128383636474609,165.74423059042306
C,0.6554126739501953,131.2150396507821
B,0.6890296936035156,124.81319861591696
C,0.4570484161376953,188.16387271778822
A,0.5903244018554688,145.68261066235866
C,0.5676746368408203,149.73365812683747
C,0.4687309265136719,183.47413224821975
A,0.32138824462890625,267.58912759643914
B,0.5121231079101562,167.92837243947858
C,0.31876564025878906,266.6535826477188
C,0.48351287841796875,177.86496252465483
B,0.5686283111572266,151.241150524109
A,0.4837512969970703,177.77730113356333
C,0.4754066467285156,178.79430290872617
A,0.2841949462890625,295.57175838926173
A,0.5877017974853516,144.6311724137931
C,0.21266937255859375,404.3835695067265
B,0.5567073822021484,154.47971905781586
C,0.4673004150390625,184.03578775510204
C,0.39768218994140625,216.2530839328537
B,0.5412101745605469,157.05543612334802
C,0.47588348388671875,180.71650501002003
C,0.46944618225097656,183.19458811579483
C,0.5307197570800781,162.04408984725967
C,0.5433559417724609,158.27562264150944
C,0.5629062652587891,151.00204997882253
B,0.2684593200683594,316.6215275310835
B,0.4355907440185547,197.43302900930487
C,0.5002021789550781,169.9312869399428
C,0.22101402282714844,389.1155814455232
C,0.5145072937011719,165.2065987025023
C,0.5621910095214844,152.97291942324003
A,0.324249267578125,265.2280470588235
B,0.514984130859375,165.05362962962963
B,0.7326602935791016,117.38045688252522
C,0.4734992980957031,181.62645720040283
B,0.6127357482910156,138.7221167315175
C,0.5815029144287109,147.89263796637965
B,0.5695819854736328,150.98792130598576
C,0.24366378784179688,352.94534637964773
B,0.34356117248535156,250.3193226925746
C,0.5588531494140625,153.88658020477817
C,0.5564689636230469,154.54590574121679
C,0.5524158477783203,155.67982045748812
B,0.5159378051757812,166.68675785582255
C,0.20003318786621094,424.92948748510133
C,0.3895759582519531,218.18594859241125
C,0.469207763671875,183.28767479674798
B,0.6184577941894531,135.82171781033153
C,0.4825592041015625,176.14418972332015
A,0.6773471832275391,126.96590777895108
B,0.5118846893310547,168.00658779692594
C,0.5390644073486328,155.82553560371517
C,0.34546852111816406,248.93729744651483
B,0.34689903259277344,247.91075189003436
B,0.4181861877441406,203.25874572405928
C,0.6954669952392578,123.65791703805279
C,0.5643367767333984,152.39127334178283
A,0.5233287811279297,162.4217949886105
A,0.2295970916748047,374.56920456905505
B,0.42366981506347656,202.98826336522228
C,0.2529621124267578,339.9718605089538
B,0.28634071350097656,296.8491590341382
B,0.2415180206298828,356.08108983218165
B,0.28443336486816406,298.83976529756916
B,0.2319812774658203,370.71957245632063
B,0.308990478515625,278.32572839506173
B,0.2808570861816406,306.20555517826824
B,0.3228187561035156,263.3056425406204
A,0.25391578674316406,334.7566572769953
A,0.31065940856933594,273.6115425940138
B,0.25916099548339844,331.8400588776449
