NodeName,delay[sec],bandwidth[bytes/sec]
C,0.000867844,1179.93607
C,0.000819445,1249.626795
C,0.001852751,1105.383425
C,0.000883818,1158.610007
C,0.000865936,1182.535048
A,0.167551279,6.11156182
A,0.000998259,1025.786314
A,0.000852823,13207.89496
A,0.000856876,1195.038201
A,0.0008564,1195.70359
B,0.082853556,12.35915576
B,0.000830173,4933.908439
B,0.00181365,564.6072428
B,0.000827789,1237.029751
B,0.000808239,1266.952005
B,0.000800133,1279.787633
B,0.000784397,1304.014345
B,0.000770569,1325.393286
